Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001 - polya	(1, 0.006061734446578213)	(2, 0.010205165861146987)	(3, 0.0129769074732574)	(4, 0.015516596299237637)	(5, 0.017749459774667978)	(6, 0.019505325856386296)	(7, 0.02192125319643044)	(8, 0.025425250266996068)	(9, 0.03210579214325474)	(10, 0.04039394415453746)	(12, 0.045447538163594585)	(14, 0.051079974955831976)	(16, 0.05701021282360309)	(18, 0.062351294451032595)	(20, 0.06935671022787351)	(22, 0.07621902678660084)	(24, 0.0827526018983104)	(26, 0.0891211616954385)	(28, 0.09536209246019502)	(30, 0.1018827757504529)	(32, 0.10803346376504769)	(34, 0.11377419185747917)	(36, 0.12010923291883291)	(38, 0.12705405713485096)	(40, 0.1334703166713503)	(42, 0.1397228500754133)	(44, 0.14514901772442385)	(46, 0.15055069091267625)	(48, 0.15595107491878346)	(50, 0.1613630615641972)	(52, 0.16671574583093318)	(54, 0.17190083641879741)	(56, 0.17726770168913028)	(58, 0.18269000179170536)	(60, 0.18759405067192303)	(62, 0.19276753862048074)	(64, 0.1986165580131063)	(66, 0.20400662856205218)	(68, 0.20915691123199687)	(70, 0.2149827253460094)	(72, 0.22068477797408584)	(74, 0.22547666800767394)	(76, 0.23084482246015198)	(78, 0.23660102073832545)	(80, 0.24225666280917585)	(82, 0.2476364199009604)	(84, 0.2527531838351307)	(86, 0.25815743538767344)	(88, 0.2635075412901191)	(90, 0.2691077485287273)	(92, 0.2746860396708677)	(94, 0.2799355893659903)	(96, 0.2847945168711271)	(98, 0.2898133029622647)	(100, 0.2955707904225834)	(102, 0.30109751427891696)	(104, 0.30626713468103917)	(106, 0.31174486961585646)	(108, 0.31715556707912507)	(110, 0.3222555716454082)	(112, 0.32712352342556117)	(114, 0.3321719607060376)	(116, 0.337358340476047)	(118, 0.34205740939518303)	(120, 0.34704009838625594)	(122, 0.35212463276679706)	(124, 0.3576732727195986)	(126, 0.3631587427472869)	(128, 0.36872414206797555)	(130, 0.3738795814665009)	(132, 0.3788068356253316)	(134, 0.3846197579178925)	(136, 0.3898254754200794)	(138, 0.39321860282616056)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003687060935179432)	(4, 0.000647169436874152)	(5, 0.0009565731517143841)	(6, 0.001237614859360928)	(7, 0.001516078202717137)	(8, 0.0020730048894295546)	(9, 0.002758849790658736)	(10, 0.003823714242567201)	(12, 0.005263730698719448)	(14, 0.006786254812162423)	(16, 0.008196620078975814)	(18, 0.00963147980654739)	(20, 0.011081809719860978)	(22, 0.012695865765610855)	(24, 0.013996650550084998)	(26, 0.015312905520301151)	(28, 0.016612401122630127)	(30, 0.01778168932829717)	(32, 0.019456336934869926)	(34, 0.021052344430587455)	(36, 0.022493650068884867)	(38, 0.02390401533569826)	(40, 0.02513647346647852)	(42, 0.026379245054420117)	(44, 0.02761428154949071)	(46, 0.029022068452013765)	(48, 0.03036668542942361)	(50, 0.03180412352128552)	(52, 0.03345298748495492)	(54, 0.0354293037134969)	(56, 0.03698534656271424)	(58, 0.03844727911533433)	(60, 0.0398666686571639)	(62, 0.041364698309848694)	(64, 0.0428021364017106)	(66, 0.04429114177937922)	(68, 0.04616432343630779)	(70, 0.047658485542557076)	(72, 0.04903919962003161)	(74, 0.05058750737637794)	(76, 0.05212679085770809)	(78, 0.05374858199632898)	(80, 0.05554054517811199)	(82, 0.05720230096323307)	(84, 0.058840851469741134)	(86, 0.0603156758438129)	(88, 0.061702835832013275)	(90, 0.06313640637743968)	(92, 0.06446168562267202)	(94, 0.06597389627895364)	(96, 0.06767174916413943)	(98, 0.06910789807385616)	(100, 0.07076836467683206)	(102, 0.07272276480890622)	(104, 0.07486280716988447)	(106, 0.07730193978854163)	(108, 0.0797088428535696)	(110, 0.0820989865507104)	(112, 0.0849274521772082)	(114, 0.08849461917288703)	(116, 0.09092214915223769)	(118, 0.09333420894584632)	(120, 0.09606082918287587)	(122, 0.09877326841630858)	(124, 0.10167006069650025)	(126, 0.10432964346198108)	(128, 0.10702274496323626)	(130, 0.10963720635363622)	(132, 0.11178240544319518)	(134, 0.11413516285812611)	(136, 0.11650983636952489)	(138, 0.1189747526310854)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001 - polya	(1, 0.03076246434799007)	(2, 0.03545766572069059)	(3, 0.03764927536747557)	(4, 0.039913079214389934)	(5, 0.0422722825400467)	(6, 0.04418542884347547)	(7, 0.04634609811877642)	(8, 0.05221445524357949)	(9, 0.059114158084516664)	(10, 0.0667164651945702)	(12, 0.07165532199270741)	(14, 0.07793879576825445)	(16, 0.08525619362422594)	(18, 0.0936139614713477)	(20, 0.10096874560952906)	(22, 0.11347896914623577)	(24, 0.14139234095340536)	(26, 0.15236714855521744)	(28, 0.16106139294222796)	(30, 0.17087077988480848)	(32, 0.18301229732799723)	(34, 0.19460849072378011)	(36, 0.20487424814574998)	(38, 0.21430074799121573)	(40, 0.22329795018234064)	(42, 0.23283660887443597)	(44, 0.24107061523562162)	(46, 0.24873995981722385)	(48, 0.25660783844918195)	(50, 0.26424753184144534)	(52, 0.27204966218399984)	(54, 0.28109069656806046)	(56, 0.2903676512846868)	(58, 0.30080615911410913)	(60, 0.311779677533776)	(62, 0.32429119025262787)	(64, 0.33756718798356417)	(66, 0.36543286005136255)	(68, 0.3841724117135193)	(70, 0.40259095702152925)	(72, 0.4154802001089153)	(74, 0.4256105934056425)	(76, 0.43566879250224044)	(78, 0.4449857118653669)	(80, 0.4544392845358811)	(82, 0.46446267571455946)	(84, 0.4735501206558461)	(86, 0.48151597713083694)	(88, 0.4892368889982459)	(90, 0.4973729175163989)	(92, 0.5046555074544508)	(94, 0.5122500794716334)	(96, 0.5202004657608821)	(98, 0.5283545428290675)	(100, 0.5377049809279683)	(102, 0.5463218743862688)	(104, 0.5575506508706789)	(106, 0.567341989263227)	(108, 0.5775071904778737)	(110, 0.586483765754676)	(112, 0.5968732846625819)	(114, 0.611416548442218)	(116, 0.6229921149236782)	(118, 0.6338199557609412)	(120, 0.646031089039969)	(122, 0.6592877490387278)	(124, 0.672601133051874)	(126, 0.6855780405251313)	(128, 0.7012738331425473)	(130, 0.7189420744420697)	(132, 0.7370550835816749)	(134, 0.7513521135715839)	(136, 0.7641085708980178)	(138, 0.7734886601862574)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001 - polyg	(1, 0.058722246712385705)	(2, 0.05933074068490483)	(3, 0.05954990164958333)	(4, 0.059725230421326124)	(5, 0.05985157027155255)	(6, 0.059980488486069315)	(7, 0.060135190343489436)	(8, 0.06032856766526458)	(9, 0.06053999353707207)	(10, 0.06172861947491663)	(12, 0.06359922276755486)	(14, 0.06412778744707359)	(16, 0.0645815795621726)	(18, 0.06497478011644872)	(20, 0.06542083713867673)	(22, 0.06583466460727554)	(24, 0.06625235962230985)	(26, 0.06668939236952168)	(28, 0.06712771429887868)	(30, 0.06760986842117137)	(32, 0.06822867585085184)	(34, 0.06880236190545144)	(36, 0.069552665913939)	(38, 0.0704048153118948)	(40, 0.07163856262482023)	(42, 0.0728104291947776)	(44, 0.07399518758618667)	(46, 0.07527921300277363)	(48, 0.07660964897658662)	(50, 0.07823530766164301)	(52, 0.08015618905794278)	(54, 0.08192107941467727)	(56, 0.08356865419620152)	(58, 0.08536448492442003)	(60, 0.08674133145545906)	(62, 0.08785260646459356)	(64, 0.08881304716274344)	(66, 0.08967937756429609)	(68, 0.09051734595865504)	(70, 0.09117869639912604)	(72, 0.09192771122546844)	(74, 0.09329295511720097)	(76, 0.09498951882024158)	(78, 0.09658423713381394)	(80, 0.09874619559126005)	(82, 0.10089912977369)	(84, 0.10433737855485209)	(86, 0.10901968810610094)	(88, 0.11571698935024678)	(90, 0.11987073422197689)	(92, 0.1252002132100999)	(94, 0.12999854915441383)	(96, 0.13303328392413843)	(98, 0.13567352895744175)	(100, 0.13832150908361607)	(102, 0.14107649132783928)	(104, 0.1429097083382677)	(106, 0.1446140071341793)	(108, 0.14648718879110786)	(110, 0.14850991557687587)	(112, 0.15024515474427153)	(114, 0.15168130365398824)	(116, 0.15356866631451366)	(118, 0.15585438625789588)	(120, 0.15762572252535623)	(122, 0.159300370131929)	(124, 0.1607855079631621)	(126, 0.16200120672605517)	(128, 0.16294102050988238)	(130, 0.16368874615407958)	(132, 0.1643655667802926)	(134, 0.16519580008178056)	(136, 0.16619233787999516)	(138, 0.1679224203188101)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001 - polya	(1, 0.004572105816593989)	(2, 0.00822979046986918)	(3, 0.010950751004622677)	(4, 0.013256318998722209)	(5, 0.015338857440792763)	(6, 0.016986488256406817)	(7, 0.0191331476946857)	(8, 0.022197016165683748)	(9, 0.02842790427549324)	(10, 0.036462543887337065)	(12, 0.041246527778358584)	(14, 0.0467009942601672)	(16, 0.05224049075868688)	(18, 0.05751653359887232)	(20, 0.0641391173594327)	(22, 0.0705163686127612)	(24, 0.07687549871498736)	(26, 0.0830882656736945)	(28, 0.08901388208416433)	(30, 0.09539810301099375)	(32, 0.10157323373279599)	(34, 0.10714060892531928)	(36, 0.11348858754994398)	(38, 0.12029377675622809)	(40, 0.1263615745061164)	(42, 0.13294791596447206)	(44, 0.13826438291096277)	(46, 0.14408406028421883)	(48, 0.14966258695434356)	(50, 0.15485220584311776)	(52, 0.16009479425049888)	(54, 0.16529695855157472)	(56, 0.17048797137504912)	(58, 0.17584625636254525)	(60, 0.18095223916930858)	(62, 0.18612094903758009)	(64, 0.19159632453989145)	(66, 0.19662145913404427)	(68, 0.20194628968873607)	(70, 0.20746348323205283)	(72, 0.21270467770473372)	(74, 0.2177228426253857)	(76, 0.22278282558704304)	(78, 0.22809929253353375)	(80, 0.23369175855066032)	(82, 0.23917549766117271)	(84, 0.2443400257253437)	(86, 0.24938328147059888)	(88, 0.254741566458095)	(90, 0.26043857757773514)	(92, 0.2660812252440682)	(94, 0.27168484273879623)	(96, 0.27695112803608035)	(98, 0.2820891713409479)	(100, 0.287993878730915)	(102, 0.2935891326174419)	(104, 0.2985738431052895)	(106, 0.30379273462276757)	(108, 0.30924580716987593)	(110, 0.3144842137731565)	(112, 0.31976025661334195)	(114, 0.3250990265150356)	(116, 0.3307876740264746)	(118, 0.33595917176414647)	(120, 0.34136485053144877)	(122, 0.3466771356738389)	(124, 0.35257487339030513)	(126, 0.3586398832707931)	(128, 0.36477877169039064)	(130, 0.3707448122071657)	(132, 0.3760794003047587)	(134, 0.3824538636886869)	(136, 0.388697297210798)	(138, 0.39238704236217736)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.000295514156438392)	(4, 0.0005352709248695402)	(5, 0.0008196336037064835)	(6, 0.0011179356295452378)	(7, 0.0013660560061774726)	(8, 0.0018539331512408557)	(9, 0.0025341732849292298)	(10, 0.003532230530258893)	(12, 0.00491640768753872)	(14, 0.006513856853946254)	(16, 0.008160093734860126)	(18, 0.009753361097167117)	(20, 0.011232325814059259)	(22, 0.012905047454276572)	(24, 0.014358921346565454)	(26, 0.01569431078933894)	(28, 0.016939094476600657)	(30, 0.01822569620486781)	(32, 0.019845448326478242)	(34, 0.021553018334200084)	(36, 0.023018043704090413)	(38, 0.024502584159783278)	(40, 0.02576409506344717)	(42, 0.026983787926105625)	(44, 0.02821323833166535)	(46, 0.029596021554244997)	(48, 0.030913289845916132)	(50, 0.032590193290233986)	(52, 0.03427546034275293)	(54, 0.03599836363217676)	(56, 0.037319813727948445)	(58, 0.03872071810163044)	(60, 0.040117440671211896)	(62, 0.0417539200092245)	(64, 0.04323846046491737)	(66, 0.04472997059411114)	(68, 0.04641244977722972)	(70, 0.047844020714315705)	(72, 0.04946377283592614)	(74, 0.05122013055815432)	(76, 0.0530643061664939)	(78, 0.054833209301023714)	(80, 0.05672059688506891)	(82, 0.05847556067259691)	(84, 0.06030300906453433)	(86, 0.06180567067132954)	(88, 0.06330693834342457)	(90, 0.06484305438302415)	(92, 0.06631365549171521)	(94, 0.06794177122152673)	(96, 0.06985564356487536)	(98, 0.07146703207828471)	(100, 0.07330841981722394)	(102, 0.07533380693658706)	(104, 0.07750137539536867)	(106, 0.08035336579193919)	(108, 0.08327784079291913)	(110, 0.08581062014314816)	(112, 0.0890459425822685)	(114, 0.09304514123708804)	(116, 0.09598216165036962)	(118, 0.09898051519045915)	(120, 0.10193983855894362)	(122, 0.10469564746120164)	(124, 0.10800345450473138)	(126, 0.11084289948900027)	(128, 0.1135680418278543)	(130, 0.11651900158813769)	(132, 0.1190908111099718)	(134, 0.12188843805323527)	(136, 0.12446303544446974)	(138, 0.1274139952047531)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001 - polya	(1, 0.01697812464820573)	(2, 0.021452655035787044)	(3, 0.023682950556076793)	(4, 0.0263146992700187)	(5, 0.028793115166940688)	(6, 0.03062195749357828)	(7, 0.03272122315205101)	(8, 0.03856459741521016)	(9, 0.04630929860941632)	(10, 0.05470078550450651)	(12, 0.06027931217463125)	(14, 0.06683916887368348)	(16, 0.07473302108080901)	(18, 0.08389814173449972)	(20, 0.09138357107447219)	(22, 0.1041018312789245)	(24, 0.1281221140324451)	(26, 0.13910213766577162)	(28, 0.1484080457241806)	(30, 0.1585726175579011)	(32, 0.17294408431676822)	(34, 0.19067632763777193)	(36, 0.20386573777088543)	(38, 0.21423103620143202)	(40, 0.22388960973898686)	(42, 0.2335342439295398)	(44, 0.24171106488080213)	(46, 0.24951431133241592)	(48, 0.2578486469047987)	(50, 0.26592231668824756)	(52, 0.27436537916724446)	(54, 0.2839249833410864)	(56, 0.29367834443825347)	(58, 0.3049064884482122)	(60, 0.31727487104291907)	(62, 0.3315306412216711)	(64, 0.3439282964450818)	(66, 0.3759400068347406)	(68, 0.3948208523486936)	(70, 0.4121167941085405)	(72, 0.4259181415750336)	(74, 0.43660404498662186)	(76, 0.44768164404896105)	(78, 0.45781973112337815)	(80, 0.46804284821450626)	(82, 0.47867717604218785)	(84, 0.48807647772550894)	(86, 0.4964860857717015)	(88, 0.5047897547806803)	(90, 0.5131213024836627)	(92, 0.5207781857917575)	(94, 0.5291208849723412)	(96, 0.537569523190139)	(98, 0.5461937971801594)	(100, 0.5558063708726082)	(102, 0.5646857349127616)	(104, 0.5760323633722357)	(106, 0.5861788140548541)	(108, 0.5965357488771995)	(110, 0.6061023227245423)	(112, 0.6171088311171724)	(114, 0.6322706588510421)	(116, 0.6442111034927933)	(118, 0.655430883894551)	(120, 0.6684599915371436)	(122, 0.6822571571995362)	(124, 0.6960069290821225)	(126, 0.7091405818272287)	(128, 0.7250662857767978)	(130, 0.7433407696961718)	(132, 0.7619497979435894)	(134, 0.7768927779295307)	(136, 0.7901950967733591)	(138, 0.799809064400508)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001 - polyg	(1, 0.053560546919758374)	(2, 0.05450842251588152)	(3, 0.054801148802919544)	(4, 0.05509387508995758)	(5, 0.055339207597189445)	(6, 0.05551763123881263)	(7, 0.055715569966238346)	(8, 0.0559915690368742)	(9, 0.05635399205892128)	(10, 0.05730744339384515)	(12, 0.058768286959634944)	(14, 0.059353739533711)	(16, 0.05979282896426805)	(18, 0.060240282003026176)	(20, 0.06079785588309862)	(22, 0.061340096481469056)	(24, 0.061763852630324106)	(26, 0.062279608469391116)	(28, 0.06285390956586573)	(30, 0.06337105933963291)	(32, 0.0639537240443086)	(34, 0.06458517646349066)	(36, 0.0654661431940051)	(38, 0.06632759483871702)	(40, 0.06768946904079395)	(42, 0.06876001089053302)	(44, 0.069852855695475)	(46, 0.07131927500006552)	(48, 0.0728247244762611)	(50, 0.07446399168367407)	(52, 0.07645313650083249)	(54, 0.0782359789823641)	(56, 0.08011082115410767)	(58, 0.08193826954604509)	(60, 0.08346184017334302)	(62, 0.08476098731391181)	(64, 0.08593607426616448)	(66, 0.0868783741234869)	(68, 0.08781231037260823)	(70, 0.08854273215550312)	(72, 0.08929963869770145)	(74, 0.09057927075246769)	(76, 0.09224641665388429)	(78, 0.09388707779599743)	(80, 0.0960644037976803)	(82, 0.09841318376748545)	(84, 0.10187292969333492)	(86, 0.10618297578629488)	(88, 0.11183956279962975)	(90, 0.11559064107781708)	(92, 0.1206325028883721)	(94, 0.12546666842860013)	(96, 0.12864762741441338)	(98, 0.13158325389299477)	(100, 0.1344031837914611)	(102, 0.13740711307035136)	(104, 0.1394854697083214)	(106, 0.14134079679426242)	(108, 0.14323376011710837)	(110, 0.14532745003678038)	(112, 0.14718417105742157)	(114, 0.1487314385746226)	(116, 0.1508530071882982)	(118, 0.15338857440792764)	(120, 0.15538468889858698)	(122, 0.15716753138011857)	(124, 0.1587217685708205)	(126, 0.15999582488678604)	(128, 0.1610147911526184)	(130, 0.1619487274017397)	(132, 0.16272793689914095)	(134, 0.1636535095400612)	(136, 0.164744960410303)	(138, 0.16666022668835184)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001 - polya	(1, 0.0032081962422402374)	(2, 0.00687753970322598)	(3, 0.009284926527967302)	(4, 0.011397278304156391)	(5, 0.013338559337907632)	(6, 0.014843486014136245)	(7, 0.016866583489922978)	(8, 0.0198566025534019)	(9, 0.025635818504454448)	(10, 0.03292987827622476)	(12, 0.03718557290513153)	(14, 0.04287305526965943)	(16, 0.04840062367929978)	(18, 0.05367902383365021)	(20, 0.06035946029015433)	(22, 0.06719237284317912)	(24, 0.07321703812033815)	(26, 0.07881526618446369)	(28, 0.0844407663959344)	(30, 0.09075178922021765)	(32, 0.09706157240143976)	(34, 0.10246889543414917)	(36, 0.10824439245601827)	(38, 0.1143992202545974)	(40, 0.1205590066254211)	(42, 0.1268687898066432)	(44, 0.1320442995869187)	(46, 0.13791896805367931)	(48, 0.14369198578942616)	(50, 0.14894063451030914)	(52, 0.15387441389366158)	(54, 0.15914041761740058)	(56, 0.16436303383399956)	(58, 0.16962407898549398)	(60, 0.17462108016496475)	(62, 0.17946064667567027)	(64, 0.18505887473979582)	(66, 0.1905306592116847)	(68, 0.1955512136093172)	(70, 0.20087176162774656)	(72, 0.2059790910396591)	(74, 0.2107492375389406)	(76, 0.21549335153393806)	(78, 0.22040605698525106)	(80, 0.22552578282777508)	(82, 0.23078806762233062)	(84, 0.23580366344771858)	(86, 0.24068785710862528)	(88, 0.2455646129111651)	(90, 0.250657066606344)	(92, 0.2558871206813098)	(94, 0.2609076750789423)	(96, 0.2659071555445354)	(98, 0.2709549820895131)	(100, 0.27641808905997395)	(102, 0.2813964955935276)	(104, 0.2861517663760753)	(106, 0.29128512829227193)	(108, 0.2964147712792851)	(110, 0.3014291274616119)	(112, 0.3064062943521044)	(114, 0.3111392515595515)	(116, 0.3160358416510697)	(118, 0.32070433741933735)	(120, 0.325527788570248)	(122, 0.3303041332848352)	(124, 0.3353581580451186)	(126, 0.34052622996702725)	(128, 0.3459137187107583)	(130, 0.3507160959296295)	(132, 0.3553796331256526)	(134, 0.36052291218633836)	(136, 0.3653314876205153)	(138, 0.3684615863499035)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00024297003998419107)	(4, 0.0005107329411912588)	(5, 0.0008528744260669564)	(6, 0.0011727023358420652)	(7, 0.001594180976630968)	(8, 0.0022487125129149114)	(9, 0.003136296944693895)	(10, 0.004749072567242021)	(12, 0.006568868581001166)	(14, 0.00817792527436586)	(16, 0.009692769095083622)	(18, 0.01119273719906766)	(20, 0.012820388538349511)	(22, 0.014397214512124465)	(24, 0.015869910468763338)	(26, 0.017291781059895314)	(28, 0.01850043304451055)	(30, 0.019710324672186932)	(32, 0.02124376313882185)	(34, 0.02299661842727923)	(36, 0.024635426554111373)	(38, 0.02612547751360626)	(40, 0.02751759667127078)	(42, 0.02891963297342446)	(44, 0.03026340605170437)	(46, 0.03166048378161347)	(48, 0.03312698152294662)	(50, 0.03484264751956968)	(52, 0.03683227463270554)	(54, 0.03911569715133248)	(56, 0.04073219170306403)	(58, 0.04232389339357271)	(60, 0.04423914192303993)	(62, 0.045956047562724145)	(64, 0.04757874032976142)	(66, 0.049232424173327294)	(68, 0.05116750699177281)	(70, 0.05293399835390277)	(72, 0.05450090718318858)	(74, 0.05635913213184318)	(76, 0.05816529207192975)	(78, 0.059835091275290485)	(80, 0.06179000838271431)	(82, 0.06377839585278902)	(84, 0.06560315043879272)	(86, 0.0674204671664296)	(88, 0.06912001780325779)	(90, 0.0708567577319203)	(92, 0.07251787943385303)	(94, 0.07447651547046027)	(96, 0.0764934147309413)	(98, 0.07813222285777344)	(100, 0.08014044461682646)	(102, 0.08232097676137845)	(104, 0.08454613605613162)	(106, 0.08750268475695967)	(108, 0.09063030420022555)	(110, 0.09332032964290768)	(112, 0.09640208229291125)	(114, 0.10064166156202314)	(116, 0.10355482275571115)	(118, 0.1064692235924603)	(120, 0.10971089019735142)	(122, 0.11277156891531553)	(124, 0.1161359601832599)	(126, 0.11906027816449821)	(128, 0.12179988932962607)	(130, 0.12492378984370853)	(132, 0.1274514220453808)	(134, 0.13003979675704913)	(136, 0.13265916254524604)	(138, 0.13523885975548636)
