Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	(1, 0.09124573387067476)	(2, 0.12292351754173386)	(3, 0.09678406036631491)	(4, 0.09124573387067476)	(5, 0.09124573387067476)	(6, 0.09124573387067476)	(7, 0.09141074918525623)	(8, 0.09129730115648148)	(9, 0.09124573387067476)	(10, 0.09124573387067476)	(15, 0.09131328701508155)	(20, 0.091570607771257)	(25, 0.09363433054924136)	(30, 0.09528293667648173)	(35, 0.019416225327671448)	(40, 0.00016569446600150093)	(45, 0.00014969623279106304)	(50, 7.69152889026265e-05)	(55, 9.085676848595816e-05)	(60, 0.00018120818279158092)	(65, 0.000197746188079518)	(70, 0.0003459712839393505)	(75, 0.0002819921749340627)	(80, 0.00021542388301373487)	(85, 0.0002186066293550801)	(90, 0.00028905159879739434)	(95, 0.0003348183934942561)	(100, 9.532284573425188e-05)	(105, 0.00011466391992100123)	(110, 0.0002651336658899706)	(115, 0.000176685042119525)	(120, 0.00023318820609133918)	(125, 0.0001967999695196207)	(130, 0.00021820460690748399)	(135, 0.0002759368672336649)	(140, 0.0004643286441465144)	(145, 0.00018782729627203843)	(150, 0.0)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	(1, 0.054357075968848104)	(2, 0.04348669212079461)	(3, 0.04327268788469679)	(4, 0.043270109520406455)	(5, 0.043270109520406455)	(6, 0.043386135913471534)	(7, 0.043270109520406455)	(8, 0.043442859927858915)	(9, 0.04329331479901947)	(10, 0.043404184463503886)	(15, 0.04337169707344566)	(20, 0.043636752922492125)	(25, 0.04562621880891482)	(30, 0.04733928404341357)	(35, 0.009964642902685414)	(40, 0.0004437034527991466)	(45, 0.0007739186444957343)	(50, 0.0002760393604266052)	(55, 0.0004370373792291448)	(60, 0.000578966736023476)	(65, 0.0006135937489195022)	(70, 0.0003891578918443716)	(75, 0.0003665145115226226)	(80, 0.00033511145329312344)	(85, 0.00040910348648735313)	(90, 0.000476514903543693)	(95, 0.0005880891800156187)	(100, 0.0005835434663690412)	(105, 0.0005004002709545608)	(110, 0.0005870908550842182)	(115, 0.00030677173767085166)	(120, 0.000610726399337703)	(125, 0.0002584934037569337)	(130, 0.0003680295247500487)	(135, 0.00023697914014922546)	(140, 0.0005833170670113849)	(145, 0.0011923089664243483)	(150, 4.923871206629107e-05)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	(1, 0.06797661958903124)	(2, 0.10024063215942286)	(3, 0.07355235838975563)	(4, 0.06796825598083016)	(5, 0.06796825598083016)	(6, 0.06796825598083016)	(7, 0.06816061896945516)	(8, 0.0680909222344461)	(9, 0.06796825598083016)	(10, 0.06796825598083016)	(15, 0.06805802537552183)	(20, 0.06820243701046058)	(25, 0.06979709830746776)	(30, 0.07094848836981735)	(35, 0.0144500618921351)	(40, 0.00013949550913458722)	(45, 0.00011382985092201035)	(50, 7.644600022780908e-05)	(55, 8.760831352004362e-05)	(60, 0.00015457560044013086)	(65, 0.0001663034016266995)	(70, 0.0003114241738896146)	(75, 0.0002617822205017654)	(80, 0.00019092659967000181)	(85, 0.00018985638966732954)	(90, 0.00027706686138955476)	(95, 0.00029845508247655297)	(100, 9.005323986694517e-05)	(105, 0.00012262955392407853)	(110, 0.00024843371794013345)	(115, 0.0001326121450338123)	(120, 0.00019209725091764887)	(125, 0.00017177869806834007)	(130, 0.00018431471457355068)	(135, 0.00023065150913032862)	(140, 0.0004646470356002659)	(145, 0.00014100194328996236)	(150, 0.0)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	(1, 0.04670796393366811)	(2, 0.03543103220920306)	(3, 0.03453891400108716)	(4, 0.034491520221281005)	(5, 0.034491520221281005)	(6, 0.03461139860549658)	(7, 0.034491520221281005)	(8, 0.034625337952498385)	(9, 0.03449709596008173)	(10, 0.03459578653685454)	(15, 0.034572368433891505)	(20, 0.03475692538819548)	(25, 0.03628412024571389)	(30, 0.03750353432143231)	(35, 0.007900476418528032)	(40, 0.00042336641461230163)	(45, 0.0007630734223445837)	(50, 0.00023093433594683878)	(55, 0.0004060978175622736)	(60, 0.0005913172943277537)	(65, 0.0006170115415300315)	(70, 0.0003676686330596856)	(75, 0.00033590486174412564)	(80, 0.00031084742840861436)	(85, 0.000360044969114254)	(90, 0.0004444932989982735)	(95, 0.0005782616301110429)	(100, 0.0005652827015972982)	(105, 0.0004746537314270598)	(110, 0.0005784933202015349)	(115, 0.0002639705990220777)	(120, 0.0006080568204326009)	(125, 0.00025467133004694)	(130, 0.0003258294803997276)	(135, 0.00022245993763930205)	(140, 0.0005470022328551124)	(145, 0.0011889446475615698)	(150, 6.178910530964375e-05)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	(1, 0.05277160511289293)	(2, 0.08572131767809599)	(3, 0.05821611743743664)	(4, 0.05276664654064835)	(5, 0.05276664654064835)	(6, 0.05276664654064835)	(7, 0.05295259299981993)	(8, 0.052850942268806135)	(9, 0.05276664654064835)	(10, 0.05276664654064835)	(15, 0.052845983696561565)	(20, 0.05297441071769606)	(25, 0.05418926091761702)	(30, 0.05506345720433565)	(35, 0.011247119469684031)	(40, 0.00013346174701793989)	(45, 0.00011461002223265741)	(50, 7.39273216333308e-05)	(55, 8.434862826182658e-05)	(60, 0.00014835940400048005)	(65, 0.00017119224871667345)	(70, 0.00031709945564891193)	(75, 0.00024268746801668262)	(80, 0.00019556806529352568)	(85, 0.00019064525574812822)	(90, 0.0002771180676475696)	(95, 0.0002866874472832961)	(100, 8.949484233517123e-05)	(105, 0.0001119762701878907)	(110, 0.0002337188135631702)	(115, 0.00013628519477168659)	(120, 0.00020163460924878842)	(125, 0.00016355876827343406)	(130, 0.00018172112415848647)	(135, 0.0002339717524639904)	(140, 0.0004446655386476561)	(145, 0.0001433989523973832)	(150, 0.0)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	(1, 0.038203319858330614)	(2, 0.026394480057874474)	(3, 0.02590853997790609)	(4, 0.025891184975050077)	(5, 0.025891184975050077)	(6, 0.026025066425653613)	(7, 0.025891184975050077)	(8, 0.026039942142387335)	(9, 0.02590853997790609)	(10, 0.02599680256385953)	(15, 0.02597250555986111)	(20, 0.02613217158613644)	(25, 0.02728900649079586)	(30, 0.028238077218407577)	(35, 0.005994826058909247)	(40, 0.0004097017086852804)	(45, 0.0007618767735149571)	(50, 0.00022420217099426378)	(55, 0.0003710335312625264)	(60, 0.000563513726346127)	(65, 0.0005987621656305825)	(70, 0.0003547172696235981)	(75, 0.0003170446178379156)	(80, 0.00028979751857301873)	(85, 0.00033750682526899903)	(90, 0.00043194395976939494)	(95, 0.0005672491810762156)	(100, 0.0005556967053905424)	(105, 0.00045621892136085793)	(110, 0.0005678969724500774)	(115, 0.00024501200102214414)	(120, 0.0006006084849075864)	(125, 0.00024018001567387704)	(130, 0.0003209275195659901)	(135, 0.00020195754214278328)	(140, 0.0005299033620056014)	(145, 0.0012413295139402012)	(150, 3.913105883792964e-05)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	(1, 0.052278676373002285)	(2, 0.08502764308265055)	(3, 0.05804937864402808)	(4, 0.05227250779761903)	(5, 0.05227250779761903)	(6, 0.05227250779761903)	(7, 0.05244214362065827)	(8, 0.05233727783914311)	(9, 0.05227250779761903)	(10, 0.05227250779761903)	(15, 0.05235393299267787)	(20, 0.05247422021265115)	(25, 0.05388620711787596)	(30, 0.05496015609209893)	(35, 0.01123800144320377)	(40, 0.00013393437071408085)	(45, 0.00012159193468970062)	(50, 7.653641608849782e-05)	(55, 0.00010616607502329388)	(60, 0.00017160022562096426)	(65, 0.00017901694928772056)	(70, 0.0003346022310103804)	(75, 0.00026857618945263145)	(80, 0.0002111922936895366)	(85, 0.00020506878649483186)	(90, 0.0002805298521794905)	(95, 0.00031036049292442684)	(100, 9.6524857625835e-05)	(105, 0.00012389273193818968)	(110, 0.0002618286392608024)	(115, 0.00014362437413813718)	(120, 0.00020760028379519877)	(125, 0.00017763942696573257)	(130, 0.00019028012808100812)	(135, 0.00024164006906666235)	(140, 0.00048714586351063466)	(145, 0.0001420504664066685)	(150, 0.0)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	(1, 0.0437752952071989)	(2, 0.031570768811448456)	(3, 0.03117597998692077)	(4, 0.031148221397696164)	(5, 0.031148221397696164)	(6, 0.03129935149458567)	(7, 0.031148221397696164)	(8, 0.03129935149458567)	(9, 0.03117597998692077)	(10, 0.03125740518197961)	(15, 0.031233964595523273)	(20, 0.0313857115499511)	(25, 0.032752667854878216)	(30, 0.03387534857462882)	(35, 0.007139025745239627)	(40, 0.00041714494865050585)	(45, 0.000768273017350067)	(50, 0.00023573131611175785)	(55, 0.0003943351868218488)	(60, 0.0005838097425515673)	(65, 0.0005937150692876904)	(70, 0.00037341462423628915)	(75, 0.0003388880814148184)	(80, 0.0003210405962933949)	(85, 0.00035693799934460505)	(90, 0.0004515874360937368)	(95, 0.0005810173748981048)	(100, 0.0005752948105989372)	(105, 0.00048676611137305235)	(110, 0.0005892401729981856)	(115, 0.00025668672651681286)	(120, 0.0006131716791779342)	(125, 0.00024192996648838614)	(130, 0.0003401304812066268)	(135, 0.00021621292063451523)	(140, 0.0005747095738117913)	(145, 0.0012555794483738302)	(150, 4.436532081179664e-05)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	(1, 0.14352158317761318)	(2, 0.17651227049190302)	(3, 0.1491353210996415)	(4, 0.14351916450552268)	(5, 0.14351916450552268)	(6, 0.14351916450552268)	(7, 0.14367879686349505)	(8, 0.14360623670078035)	(9, 0.14351916450552268)	(10, 0.14351916450552268)	(15, 0.143599464418927)	(20, 0.14396323270133674)	(25, 0.14666779183292317)	(30, 0.14874784983074496)	(35, 0.03017216689428657)	(40, 0.00015212645336054142)	(45, 0.00013275230974241778)	(50, 7.5101109107715e-05)	(55, 9.691180362024703e-05)	(60, 0.00016428201548271252)	(65, 0.00017884579033844992)	(70, 0.000327708164516363)	(75, 0.0002555488938813434)	(80, 0.00021296233218804714)	(85, 0.00019755227009789038)	(90, 0.0002875796352094104)	(95, 0.0003063888897007924)	(100, 9.69338309503799e-05)	(105, 0.00011813350410816827)	(110, 0.0002467374721618692)	(115, 0.00015674459306823718)	(120, 0.0002122489385665043)	(125, 0.00018709016615031023)	(130, 0.00019674653046107435)	(135, 0.0002524345146651781)	(140, 0.0004692477213601761)	(145, 0.0001535858184243875)	(150, 0.0)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	(1, 0.06489539085994943)	(2, 0.052809286423768614)	(3, 0.05221913043368894)	(4, 0.052202199729055515)	(5, 0.052202199729055515)	(6, 0.05236425075911837)	(7, 0.052202199729055515)	(8, 0.052369088103299356)	(9, 0.0522336424662319)	(10, 0.052318779723817155)	(15, 0.05229023939314936)	(20, 0.05268448294389931)	(25, 0.05529277892628422)	(30, 0.057418307959407236)	(35, 0.011994123242585447)	(40, 0.000410946565169932)	(45, 0.000774486096769269)	(50, 0.00024349166976997527)	(55, 0.0004071399548096919)	(60, 0.0005814793144592249)	(65, 0.0006120683136417786)	(70, 0.00037341730815377037)	(75, 0.00033912480830182955)	(80, 0.00031502695998300253)	(85, 0.00036612330412170464)	(90, 0.0004406672424200963)	(95, 0.0005728337486475183)	(100, 0.0005766495081077505)	(105, 0.0004871613977755762)	(110, 0.0005868162946503201)	(115, 0.0002620668676961651)	(120, 0.0006003916387192903)	(125, 0.0002586501850540497)	(130, 0.00035092249773454356)	(135, 0.00020976221084793604)	(140, 0.0005556208807524241)	(145, 0.0012323924420843204)	(150, 2.7709607744376175e-05)
