Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	(1, 36.246400970867604)	(2, 34.935908438571204)	(3, 36.42754080848067)	(4, 35.250659268411304)	(5, 36.16941250860948)	(6, 36.01847521775511)	(7, 35.7579098479567)	(8, 35.695411689875684)	(9, 35.91937186714235)	(10, 36.12105225418784)	(15, 36.28770554687893)	(20, 36.26694767743394)	(25, 36.049540217055466)	(30, 36.211761652189026)	(35, 36.20827303004033)	(40, 36.116519674677065)	(45, 36.09581710148228)	(50, 36.101239915692396)	(55, 36.147823134522056)	(60, 36.25825481623605)	(65, 36.06116734697642)	(70, 35.980283260552845)	(75, 35.556794771083275)	(80, 35.73388626669397)	(85, 35.97994944158146)	(90, 35.88829040041686)	(95, 35.98931582788198)	(100, 35.90523727122259)	(105, 35.83794619206904)	(110, 35.71279743501466)	(115, 35.84803434924391)	(120, 35.69213521783851)	(125, 35.75599664149639)	(130, 35.46686582326233)	(135, 35.58781517036479)	(140, 35.386733369825336)	(145, 35.43222648477741)	(150, 35.27285275129384)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	(1, 36.00044144175015)	(2, 36.32158599622285)	(3, 36.41089390884384)	(4, 36.37343839755278)	(5, 36.40251981995076)	(6, 36.374632979512135)	(7, 36.29764964819895)	(8, 36.35467886356737)	(9, 36.28190855372095)	(10, 35.51391353697719)	(15, 35.43812686578497)	(20, 35.50204990016702)	(25, 35.35577767476353)	(30, 35.3596372592101)	(35, 35.09020221042245)	(40, 34.82187854939817)	(45, 35.02161548235149)	(50, 35.079521732495)	(55, 35.33324430294581)	(60, 35.40452042766665)	(65, 35.294792993049064)	(70, 34.66872651378241)	(75, 33.88226295468941)	(80, 33.97118337916774)	(85, 34.1823554689073)	(90, 34.637035508138545)	(95, 34.5104059977478)	(100, 34.541532252655905)	(105, 34.356711595731916)	(110, 34.39443478710487)	(115, 34.17709246423349)	(120, 34.38505474529821)	(125, 34.34967104546125)	(130, 33.95226376004254)	(135, 33.384686354805815)	(140, 33.25877675232606)	(145, 33.671341336598616)	(150, 35.27651098425395)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	(1, 36.25193978558943)	(2, 34.944472276673956)	(3, 36.43387112449214)	(4, 35.25163532237221)	(5, 36.17243446179038)	(6, 36.02331690330381)	(7, 35.76073063477612)	(8, 35.690301387082116)	(9, 35.93121361586494)	(10, 36.125351507119404)	(15, 36.289524558425185)	(20, 36.270526259973394)	(25, 36.04983118056846)	(30, 36.208330505039825)	(35, 36.195608084869605)	(40, 36.10207492910201)	(45, 36.08609217970079)	(50, 36.088737619355605)	(55, 36.13768345759142)	(60, 36.246769363503155)	(65, 36.046930664712114)	(70, 35.96300654917248)	(75, 35.538384176085614)	(80, 35.720245141809656)	(85, 35.96141970724248)	(90, 35.87271034733876)	(95, 35.97354041750408)	(100, 35.89086242464283)	(105, 35.82083723278424)	(110, 35.6972401450215)	(115, 35.828037460500184)	(120, 35.6740131539991)	(125, 35.73627572888624)	(130, 35.44867760125764)	(135, 35.56794400324593)	(140, 35.36589278456121)	(145, 35.41304150459727)	(150, 35.23934002208627)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	(1, 35.90605303876928)	(2, 36.214580774417705)	(3, 36.33209348417491)	(4, 36.30453486545714)	(5, 36.331883027913875)	(6, 36.29660028247808)	(7, 36.206476075647835)	(8, 36.27288351506618)	(9, 36.19663695968791)	(10, 35.434531760328206)	(15, 35.34731996817592)	(20, 35.39415188635886)	(25, 35.25492650813838)	(30, 35.26637791030565)	(35, 34.99167843659711)	(40, 34.72492800304296)	(45, 34.926755230204186)	(50, 34.972237085882476)	(55, 35.22478874557656)	(60, 35.29796868679305)	(65, 35.19616739688904)	(70, 34.57968067801134)	(75, 33.784043287641786)	(80, 33.88486479001998)	(85, 34.088904011642356)	(90, 34.537190613809145)	(95, 34.41633059245701)	(100, 34.441703140113745)	(105, 34.261835817839135)	(110, 34.29127688579818)	(115, 34.07369635147664)	(120, 34.27473590604366)	(125, 34.23517582029906)	(130, 33.84215902369912)	(135, 33.2690425845747)	(140, 33.14057617874731)	(145, 33.55969863726183)	(150, 35.16338425285232)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	(1, 36.26632977465694)	(2, 34.9786574373092)	(3, 36.44716196241546)	(4, 35.26165991528131)	(5, 36.18557436791034)	(6, 36.03914668822786)	(7, 35.77499538790799)	(8, 35.713764037067214)	(9, 35.945565289756274)	(10, 36.13454815047611)	(15, 36.30403000769248)	(20, 36.28289846200213)	(25, 36.06552237033836)	(30, 36.22710416579323)	(35, 36.215583243929174)	(40, 36.116850432700794)	(45, 36.10118351622931)	(50, 36.10181496804104)	(55, 36.15422921239965)	(60, 36.26396229388861)	(65, 36.064902428086306)	(70, 35.98388583713155)	(75, 35.5577269279096)	(80, 35.74306498475827)	(85, 35.98106296195617)	(90, 35.89287227687849)	(95, 35.99414982829818)	(100, 35.91284084417825)	(105, 35.84287944705203)	(110, 35.72057075981824)	(115, 35.85174594227708)	(120, 35.6978025393921)	(125, 35.75912819509982)	(130, 35.46902335931797)	(135, 35.58983648430898)	(140, 35.387370933153605)	(145, 35.4384804646221)	(150, 35.261628142094445)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	(1, 35.83977583683283)	(2, 36.218576864477086)	(3, 36.33093954952512)	(4, 36.28703072289215)	(5, 36.31738625921616)	(6, 36.28530846199444)	(7, 36.204086056913845)	(8, 36.26633235311451)	(9, 36.198203380352915)	(10, 35.42914704301371)	(15, 35.33799555816057)	(20, 35.37804385366252)	(25, 35.23756127896553)	(30, 35.25227178598921)	(35, 34.971352455773584)	(40, 34.69645123287365)	(45, 34.900133276329385)	(50, 34.950009997571314)	(55, 35.19485936758573)	(60, 35.27067735587705)	(65, 35.16694834522527)	(70, 34.544405768502855)	(75, 33.741774558331855)	(80, 33.84402897071826)	(85, 34.049021424466794)	(90, 34.50526845281803)	(95, 34.37879590501062)	(100, 34.4056834139858)	(105, 34.22909300212556)	(110, 34.260813928505875)	(115, 34.039764242190685)	(120, 34.24651540881448)	(125, 34.2061175203674)	(130, 33.808707667812456)	(135, 33.22826943036114)	(140, 33.09915502208807)	(145, 33.5293514304667)	(150, 35.135720442706884)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	(1, 36.26719828888654)	(2, 34.98314313405021)	(3, 36.44345629349983)	(4, 35.28956144112355)	(5, 36.19607128368701)	(6, 36.044811399971444)	(7, 35.77586351804896)	(8, 35.71682124551124)	(9, 35.92582087622948)	(10, 36.13754540726894)	(15, 36.29887055543734)	(20, 36.27869955450857)	(25, 36.0547923646731)	(30, 36.21749064389039)	(35, 36.20616941174332)	(40, 36.10922145851931)	(45, 36.091441220806004)	(50, 36.0942040703858)	(55, 36.142632435364554)	(60, 36.254224475231204)	(65, 36.054220874455346)	(70, 35.965362142791804)	(75, 35.53404319963397)	(80, 35.71742397624253)	(85, 35.95818090265975)	(90, 35.86909103405396)	(95, 35.969129330606116)	(100, 35.88492461762328)	(105, 35.81928868147011)	(110, 35.69504753764861)	(115, 35.82821574316493)	(120, 35.679129209197605)	(125, 35.74236470276901)	(130, 35.457008396682156)	(135, 35.57822063336518)	(140, 35.375810354873394)	(145, 35.42369360092039)	(150, 35.27176619051391)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	(1, 36.06599771139685)	(2, 36.338395554159675)	(3, 36.42991901554965)	(4, 36.39751934442108)	(5, 36.421895457020035)	(6, 36.38651673409588)	(7, 36.31315451476336)	(8, 36.36968861370737)	(9, 36.30236996357795)	(10, 35.553070076836086)	(15, 35.47639110704863)	(20, 35.52946589976059)	(25, 35.37996165428485)	(30, 35.38987828074525)	(35, 35.11751094631352)	(40, 34.84119935453912)	(45, 35.04417654498275)	(50, 35.10031265527704)	(55, 35.36083522930973)	(60, 35.434187715015)	(65, 35.32084104089482)	(70, 34.69625408801953)	(75, 33.89513297898272)	(80, 33.98633578689848)	(85, 34.19651916218044)	(90, 34.657551505092236)	(95, 34.52920827568901)	(100, 34.56270109429958)	(105, 34.375738138681434)	(110, 34.41420608514686)	(115, 34.19964093767899)	(120, 34.41185273066676)	(125, 34.379958702088324)	(130, 33.97894580364964)	(135, 33.41209960680811)	(140, 33.280536920149125)	(145, 33.691162752236835)	(150, 35.310935681869104)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	(1, 36.21267659420301)	(2, 34.881865113511545)	(3, 36.393982503471214)	(4, 35.19322602023882)	(5, 36.13492588862194)	(6, 35.988049075146954)	(7, 35.69415487497509)	(8, 35.623160608945206)	(9, 35.86199122355808)	(10, 36.07302804515594)	(15, 36.23891124830303)	(20, 36.217733732791544)	(25, 35.98296120974818)	(30, 36.15031122142191)	(35, 36.16248558064749)	(40, 36.06430599840146)	(45, 36.04830751339638)	(50, 36.04955501492187)	(55, 36.102068744259796)	(60, 36.21292141384448)	(65, 36.000364996127125)	(70, 35.896353984779324)	(75, 35.44686437336784)	(80, 35.628620426711024)	(85, 35.87519025616526)	(90, 35.78805772995376)	(95, 35.88489615606218)	(100, 35.79426235386326)	(105, 35.72149048330246)	(110, 35.6016296853977)	(115, 35.72614526977163)	(120, 35.57465445640079)	(125, 35.6363797320658)	(130, 35.35082130733314)	(135, 35.47269777848262)	(140, 35.266954456789776)	(145, 35.309798756942264)	(150, 35.16530523275231)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	(1, 36.089932178257776)	(2, 36.324114758154195)	(3, 36.405178778445304)	(4, 36.37411898962102)	(5, 36.401546344139646)	(6, 36.36481443064906)	(7, 36.28680265360255)	(8, 36.347957302020625)	(9, 36.275738655805085)	(10, 35.517289507382046)	(15, 35.43996712927882)	(20, 35.490514933111264)	(25, 35.328414397668055)	(30, 35.338785112134836)	(35, 35.083604362316514)	(40, 34.81069729945002)	(45, 35.01469149725094)	(50, 35.06724541869803)	(55, 35.31825997713385)	(60, 35.3917842235353)	(65, 35.27987617673508)	(70, 34.65765001718798)	(75, 33.85651041265635)	(80, 33.94113319397225)	(85, 34.151515917008766)	(90, 34.618664055054204)	(95, 34.48774822577584)	(100, 34.522066913919296)	(105, 34.33458356027557)	(110, 34.37062447159079)	(115, 34.15226058722864)	(120, 34.35926117871467)	(125, 34.31935756607037)	(130, 33.91305707405466)	(135, 33.345284930947344)	(140, 33.21151997641324)	(145, 33.612532007039)	(150, 35.2573394042181)
