Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	(2.0, 35389.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 3.0)	(12.0, 13.0)	(13.0, 6.0)	(14.0, 25.0)	(15.0, 77.0)	(16.0, 233.0)	(17.0, 546.0)	(18.0, 954.0)	(19.0, 1876.0)	(20.0, 3656.0)	(21.0, 6730.0)	(22.0, 11896.0)	(23.0, 20621.0)	(24.0, 35420.0)	(25.0, 59860.0)	(26.0, 93224.0)	(27.0, 143819.0)	(28.0, 210999.0)	(29.0, 300375.0)	(30.0, 408812.0)	(31.0, 552088.0)	(32.0, 743100.0)	(33.0, 1054631.0)	(34.0, 1702194.0)	(35.0, 4336636.0)	(36.0, 27140697.0)	(37.0, 1920397.0)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	(2.0, 16782.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 2.0)	(6.0, 17.0)	(7.0, 20.0)	(8.0, 19.0)	(9.0, 14.0)	(10.0, 11.0)	(11.0, 7.0)	(12.0, 7.0)	(13.0, 11.0)	(14.0, 18.0)	(15.0, 69.0)	(16.0, 340.0)	(17.0, 843.0)	(18.0, 1860.0)	(19.0, 3445.0)	(20.0, 6790.0)	(21.0, 13996.0)	(22.0, 28010.0)	(23.0, 52598.0)	(24.0, 86612.0)	(25.0, 127765.0)	(26.0, 176260.0)	(27.0, 236544.0)	(28.0, 306922.0)	(29.0, 411981.0)	(30.0, 566925.0)	(31.0, 823063.0)	(32.0, 1334973.0)	(33.0, 2817099.0)	(34.0, 7933571.0)	(35.0, 17170162.0)	(36.0, 6662840.0)	(37.0, 4703.0)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	(2.0, 24380.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 2.0)	(12.0, 4.0)	(13.0, 12.0)	(14.0, 15.0)	(15.0, 78.0)	(16.0, 222.0)	(17.0, 504.0)	(18.0, 999.0)	(19.0, 1905.0)	(20.0, 3669.0)	(21.0, 6892.0)	(22.0, 11950.0)	(23.0, 20558.0)	(24.0, 35199.0)	(25.0, 58922.0)	(26.0, 90786.0)	(27.0, 138187.0)	(28.0, 202706.0)	(29.0, 290645.0)	(30.0, 392234.0)	(31.0, 522908.0)	(32.0, 696960.0)	(33.0, 980358.0)	(34.0, 1574657.0)	(35.0, 3990307.0)	(36.0, 25030756.0)	(37.0, 1793870.0)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	(2.0, 12372.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 3.0)	(6.0, 5.0)	(7.0, 20.0)	(8.0, 12.0)	(9.0, 7.0)	(10.0, 16.0)	(11.0, 6.0)	(12.0, 8.0)	(13.0, 7.0)	(14.0, 22.0)	(15.0, 75.0)	(16.0, 319.0)	(17.0, 797.0)	(18.0, 1707.0)	(19.0, 3642.0)	(20.0, 7378.0)	(21.0, 15258.0)	(22.0, 30389.0)	(23.0, 57014.0)	(24.0, 94025.0)	(25.0, 139008.0)	(26.0, 188240.0)	(27.0, 250843.0)	(28.0, 324470.0)	(29.0, 427577.0)	(30.0, 577593.0)	(31.0, 833639.0)	(32.0, 1346754.0)	(33.0, 2813264.0)	(34.0, 7607680.0)	(35.0, 15455045.0)	(36.0, 5679075.0)	(37.0, 3416.0)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	(2.0, 21283.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 6.0)	(13.0, 5.0)	(14.0, 14.0)	(15.0, 72.0)	(16.0, 243.0)	(17.0, 528.0)	(18.0, 953.0)	(19.0, 1821.0)	(20.0, 3352.0)	(21.0, 6160.0)	(22.0, 10554.0)	(23.0, 18610.0)	(24.0, 33254.0)	(25.0, 57994.0)	(26.0, 94012.0)	(27.0, 147475.0)	(28.0, 219026.0)	(29.0, 315082.0)	(30.0, 430573.0)	(31.0, 579170.0)	(32.0, 776335.0)	(33.0, 1096634.0)	(34.0, 1766632.0)	(35.0, 4508867.0)	(36.0, 28288396.0)	(37.0, 1957136.0)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	(2.0, 10443.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 0.0)	(6.0, 11.0)	(7.0, 17.0)	(8.0, 19.0)	(9.0, 13.0)	(10.0, 12.0)	(11.0, 5.0)	(12.0, 1.0)	(13.0, 8.0)	(14.0, 14.0)	(15.0, 88.0)	(16.0, 286.0)	(17.0, 796.0)	(18.0, 1837.0)	(19.0, 3633.0)	(20.0, 7754.0)	(21.0, 16097.0)	(22.0, 32161.0)	(23.0, 61073.0)	(24.0, 103322.0)	(25.0, 153534.0)	(26.0, 209781.0)	(27.0, 281856.0)	(28.0, 368369.0)	(29.0, 490444.0)	(30.0, 663964.0)	(31.0, 962008.0)	(32.0, 1568281.0)	(33.0, 3302601.0)	(34.0, 8839918.0)	(35.0, 17257935.0)	(36.0, 5994869.0)	(37.0, 3040.0)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	(2.0, 16948.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 6.0)	(13.0, 9.0)	(14.0, 12.0)	(15.0, 53.0)	(16.0, 165.0)	(17.0, 378.0)	(18.0, 730.0)	(19.0, 1416.0)	(20.0, 2622.0)	(21.0, 5329.0)	(22.0, 9882.0)	(23.0, 19088.0)	(24.0, 37254.0)	(25.0, 64711.0)	(26.0, 93457.0)	(27.0, 130321.0)	(28.0, 184222.0)	(29.0, 258602.0)	(30.0, 348563.0)	(31.0, 463432.0)	(32.0, 620275.0)	(33.0, 868963.0)	(34.0, 1389679.0)	(35.0, 3519654.0)	(36.0, 22714854.0)	(37.0, 1671768.0)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	(2.0, 10099.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 3.0)	(6.0, 9.0)	(7.0, 15.0)	(8.0, 12.0)	(9.0, 13.0)	(10.0, 7.0)	(11.0, 4.0)	(12.0, 2.0)	(13.0, 9.0)	(14.0, 14.0)	(15.0, 40.0)	(16.0, 202.0)	(17.0, 587.0)	(18.0, 1336.0)	(19.0, 2819.0)	(20.0, 5693.0)	(21.0, 11929.0)	(22.0, 23779.0)	(23.0, 44083.0)	(24.0, 72681.0)	(25.0, 106745.0)	(26.0, 144262.0)	(27.0, 193307.0)	(28.0, 253630.0)	(29.0, 340246.0)	(30.0, 465882.0)	(31.0, 681141.0)	(32.0, 1092440.0)	(33.0, 2279390.0)	(34.0, 6485696.0)	(35.0, 14469296.0)	(36.0, 5733818.0)	(37.0, 3208.0)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	(2.0, 59338.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 6.0)	(12.0, 11.0)	(13.0, 8.0)	(14.0, 16.0)	(15.0, 75.0)	(16.0, 265.0)	(17.0, 626.0)	(18.0, 1210.0)	(19.0, 2495.0)	(20.0, 4707.0)	(21.0, 9637.0)	(22.0, 18741.0)	(23.0, 37221.0)	(24.0, 71936.0)	(25.0, 118613.0)	(26.0, 150580.0)	(27.0, 184631.0)	(28.0, 251037.0)	(29.0, 349395.0)	(30.0, 465959.0)	(31.0, 616591.0)	(32.0, 818758.0)	(33.0, 1141312.0)	(34.0, 1825767.0)	(35.0, 4633852.0)	(36.0, 28568604.0)	(37.0, 2013608.0)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	(2.0, 21583.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 5.0)	(6.0, 13.0)	(7.0, 21.0)	(8.0, 13.0)	(9.0, 9.0)	(10.0, 17.0)	(11.0, 2.0)	(12.0, 5.0)	(13.0, 5.0)	(14.0, 21.0)	(15.0, 62.0)	(16.0, 228.0)	(17.0, 719.0)	(18.0, 1617.0)	(19.0, 3414.0)	(20.0, 7199.0)	(21.0, 15696.0)	(22.0, 31644.0)	(23.0, 60608.0)	(24.0, 100373.0)	(25.0, 146135.0)	(26.0, 196408.0)	(27.0, 263451.0)	(28.0, 348541.0)	(29.0, 457058.0)	(30.0, 620831.0)	(31.0, 911417.0)	(32.0, 1447844.0)	(33.0, 2963304.0)	(34.0, 8289971.0)	(35.0, 18224605.0)	(36.0, 7226208.0)	(37.0, 5974.0)
