Sample	Unique Reads	Duplicate Reads
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	15989357.0	22794922.0
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	15899296.0	22884983.0
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	15390879.0	20478807.0
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	15713420.0	20156266.0
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	17243443.0	23090748.0
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	17721062.0	22613129.0
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	14191989.0	18230408.0
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	14208789.0	18213608.0
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	16245884.0	25099117.0
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	16426165.0	24918836.0
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001	15410788.0	24053260.0
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001	15671437.0	23792611.0
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001	14340420.0	20158513.0
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001	14756948.0	19741985.0
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001	9254878.0	14175947.0
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001	9276420.0	14154405.0
