Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	(1.0, 27.490746334495498)	(2.0, 12.472894574463774)	(3.0, 7.828908127022342)	(4.0, 5.560603419778521)	(5.0, 4.19268512363696)	(6.0, 3.3627174130957243)	(7.0, 2.6432494902251342)	(8.0, 2.296035194242515)	(9.0, 1.9400069177964083)	('>10', 19.6965346944812)	('>50', 4.437542977456892)	('>100', 5.912789035869087)	('>500', 1.2071410126315134)	('>1k', 0.7839603054060836)	('>5k', 0.0)	('>10k+', 0.1741853793983627)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	(1.0, 27.75218845445902)	(2.0, 11.59269305788295)	(3.0, 7.656868945873373)	(4.0, 5.579487980685022)	(5.0, 4.233182323021801)	(6.0, 3.278000824155124)	(7.0, 2.6608340711540417)	(8.0, 2.2723054684361466)	(9.0, 2.0120320097197677)	('>10', 19.63421439928253)	('>50', 4.391011482515247)	('>100', 6.542992875525304)	('>500', 1.3692218917165575)	('>1k', 0.9339113472650252)	('>5k', 0.042670256822324164)	('>10k+', 0.04838461148596244)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	(1.0, 29.140850631834613)	(2.0, 12.859229130842047)	(3.0, 7.82936107025598)	(4.0, 5.593536836191817)	(5.0, 4.053422678059867)	(6.0, 3.204782765397777)	(7.0, 2.6655710746313774)	(8.0, 2.131330959986532)	(9.0, 1.7384205655006923)	('>10', 18.324139813588754)	('>50', 4.17800110218843)	('>100', 5.941867006561897)	('>500', 1.3529571393876476)	('>1k', 0.8301645002527921)	('>5k', 0.0)	('>10k+', 0.15636472531982193)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	(1.0, 30.823250991997455)	(2.0, 11.810742988442554)	(3.0, 7.604959284439837)	(4.0, 5.1732750531306575)	(5.0, 3.9274903551969054)	(6.0, 3.1718789732518013)	(7.0, 2.5781694974198945)	(8.0, 2.058579078013486)	(9.0, 1.806360406688046)	('>10', 17.929272553040562)	('>50', 4.178365801148427)	('>100', 6.350706252643297)	('>500', 1.5370743961813915)	('>1k', 0.9422673345026616)	('>5k', 0.06915863606760059)	('>10k+', 0.038448397835371365)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	(1.0, 28.746010755219192)	(2.0, 12.932607129350277)	(3.0, 7.964408321925712)	(4.0, 5.669750031445326)	(5.0, 4.1592839518052225)	(6.0, 3.346075281079492)	(7.0, 2.749470788007357)	(8.0, 2.215449003796552)	(9.0, 1.931699075630089)	('>10', 19.38203172026117)	('>50', 4.224787567532978)	('>100', 5.05736250268302)	('>500', 0.9361551066720446)	('>1k', 0.594592877344461)	('>5k', 0.0)	('>10k+', 0.09031588724721758)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	(1.0, 30.58904405722705)	(2.0, 12.168947463113978)	(3.0, 7.639627463083433)	(4.0, 5.3516736474544535)	(5.0, 4.243127948798904)	(6.0, 3.153693345660831)	(7.0, 2.6130728630416566)	(8.0, 2.14095586155342)	(9.0, 1.831200200955973)	('>10', 18.833499244397675)	('>50', 4.121958737400254)	('>100', 5.544173800414586)	('>500', 1.1021862436601686)	('>1k', 0.6219749251610647)	('>5k', 0.015875408290991874)	('>10k+', 0.028988789785421947)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	(1.0, 29.816392132620262)	(2.0, 13.277222821367413)	(3.0, 7.965746992301938)	(4.0, 5.487958321699758)	(5.0, 3.941363353319722)	(6.0, 3.2415672101569926)	(7.0, 2.6221679834812632)	(8.0, 2.0961896071637685)	(9.0, 1.781365069890773)	('>10', 18.377363673212948)	('>50', 4.1444512106328695)	('>100', 5.062852532816297)	('>500', 1.1021111711668308)	('>1k', 0.9597138076676904)	('>5k', 0.06374099130555624)	('>10k+', 0.059793121195913394)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	(1.0, 30.409506406140935)	(2.0, 12.43993677818271)	(3.0, 7.678282487217436)	(4.0, 5.399479111471075)	(5.0, 4.028057203844364)	(6.0, 3.144858677178112)	(7.0, 2.4949200298098444)	(8.0, 2.14888376205007)	(9.0, 1.7668321618528093)	('>10', 18.30467874212654)	('>50', 4.216668288375976)	('>100', 5.487668316373635)	('>500', 1.2574547467944464)	('>1k', 1.0651708388191392)	('>5k', 0.07517116580097254)	('>10k+', 0.0824312839620165)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	(1.0, 26.376840406083367)	(2.0, 11.780757976862068)	(3.0, 7.531990782762509)	(4.0, 4.9715666417420215)	(5.0, 3.8175436223961183)	(6.0, 2.950881472026299)	(7.0, 2.5449036475082036)	(8.0, 2.051579669672382)	(9.0, 1.7767729704149051)	('>10', 19.391139992752215)	('>50', 5.1238941978853525)	('>100', 7.274237708356559)	('>500', 1.9774981124283875)	('>1k', 1.9158789802804919)	('>5k', 0.20899599246273476)	('>10k+', 0.30551782636628044)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	(1.0, 27.25444466371491)	(2.0, 11.271143711541578)	(3.0, 7.105181140992005)	(4.0, 4.974839390514898)	(5.0, 3.76309263433468)	(6.0, 3.0297102201075385)	(7.0, 2.387504914699051)	(8.0, 2.061533432051682)	(9.0, 1.8159064497190527)	('>10', 19.040622448959432)	('>50', 4.90725060231803)	('>100', 7.7357857536111645)	('>500', 2.055141356964791)	('>1k', 2.114744480253459)	('>5k', 0.17148608472975782)	('>10k+', 0.3116127154878604)
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001	(1.0, 26.49092844716414)	(2.0, 11.591645749477486)	(3.0, 7.029542664975937)	(4.0, 4.89814989722415)	(5.0, 3.730519575275081)	(6.0, 3.067018449877711)	(7.0, 2.4228321229482286)	(8.0, 2.023395828794453)	(9.0, 1.7831212464960826)	('>10', 18.50150244524801)	('>50', 4.65666287551273)	('>100', 7.526776812142547)	('>500', 2.7664088276344097)	('>1k', 3.1497892181094866)	('>5k', 0.20754485210659743)	('>10k+', 0.1541609870128574)
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001	(1.0, 27.5261236600313)	(2.0, 11.123291418605975)	(3.0, 6.896549538182498)	(4.0, 4.853940142257964)	(5.0, 3.717226383777906)	(6.0, 2.8213686448127326)	(7.0, 2.4001838381917118)	(8.0, 1.9916223560085062)	(9.0, 1.6840890089888618)	('>10', 17.960064241694738)	('>50', 4.519536405502625)	('>100', 8.021314597765883)	('>500', 2.8650400073508773)	('>1k', 3.209929567204662)	('>5k', 0.2378298591489602)	('>10k+', 0.17189033047487923)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001	(1.0, 28.74496558810577)	(2.0, 12.40790874141266)	(3.0, 7.229590124062354)	(4.0, 4.849169785111559)	(5.0, 3.73181644335542)	(6.0, 2.8144625595799724)	(7.0, 2.302553540930556)	(8.0, 1.895343357906862)	(9.0, 1.6156692366527237)	('>10', 16.609244880661976)	('>50', 4.14180385864806)	('>100', 7.0787308801117)	('>500', 2.719609571220247)	('>1k', 3.4125344816367615)	('>5k', 0.26302576471726213)	('>10k+', 0.18357118588609456)
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001	(1.0, 30.6482242954213)	(2.0, 11.426688198952311)	(3.0, 6.958084415339158)	(4.0, 4.704117282236091)	(5.0, 3.6517428829010274)	(6.0, 2.7273007374037856)	(7.0, 2.207275637864518)	(8.0, 1.8933080071912023)	(9.0, 1.5772985057429498)	('>10', 16.114722285634002)	('>50', 3.9207909530370717)	('>100', 7.390411570127027)	('>500', 2.7804938780529467)	('>1k', 3.4290640472555354)	('>5k', 0.35451649431926785)	('>10k+', 0.21596080852196195)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001	(1.0, 27.28791043109261)	(2.0, 11.758844152536906)	(3.0, 6.8390910795110225)	(4.0, 4.54786560525791)	(5.0, 3.4227065045675236)	(6.0, 2.647740976923848)	(7.0, 2.1818305514959357)	(8.0, 1.834893980907919)	(9.0, 1.566390782906182)	('>10', 17.312911369006617)	('>50', 4.843968109813606)	('>100', 8.361694458675935)	('>500', 3.010431477753538)	('>1k', 3.6780866044105562)	('>5k', 0.37768333239782415)	('>10k+', 0.3279505827421646)
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001	(1.0, 27.84766963502834)	(2.0, 11.015864221162227)	(3.0, 6.721637179217553)	(4.0, 4.563566943779609)	(5.0, 3.3331621079698612)	(6.0, 2.626169948047225)	(7.0, 2.1275927280043856)	(8.0, 1.7738519140549711)	(9.0, 1.5123327899595533)	('>10', 17.006850682077864)	('>50', 4.657092280344542)	('>100', 9.058065036898487)	('>500', 3.3240531000983067)	('>1k', 3.7455730626399273)	('>5k', 0.2994916312162759)	('>10k+', 0.38702673950106625)
