Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	(35, 37943.0)	(40, 829.0)	(45, 1038.0)	(50, 1457.0)	(55, 1964.0)	(60, 2922.0)	(65, 4302.0)	(70, 6074.0)	(75, 8775.0)	(80, 12504.0)	(85, 18445.0)	(90, 26402.0)	(95, 36845.0)	(100, 51305.0)	(105, 68625.0)	(110, 88705.0)	(115, 112015.0)	(120, 134023.0)	(125, 155230.0)	(130, 176033.0)	(135, 194955.0)	(140, 213772.0)	(145, 11668382.0)	(150, 25761734.0)
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	(35, 19332.0)	(40, 814.0)	(45, 1012.0)	(50, 1430.0)	(55, 1925.0)	(60, 2895.0)	(65, 4255.0)	(70, 6030.0)	(75, 8647.0)	(80, 12382.0)	(85, 18218.0)	(90, 26096.0)	(95, 36348.0)	(100, 50343.0)	(105, 66952.0)	(110, 86128.0)	(115, 109063.0)	(120, 129701.0)	(125, 150737.0)	(130, 168610.0)	(135, 189717.0)	(140, 209383.0)	(145, 13113193.0)	(150, 24371068.0)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	(35, 26078.0)	(40, 432.0)	(45, 561.0)	(50, 829.0)	(55, 1118.0)	(60, 1619.0)	(65, 2432.0)	(70, 3453.0)	(75, 5102.0)	(80, 7489.0)	(85, 10935.0)	(90, 16394.0)	(95, 24118.0)	(100, 33931.0)	(105, 47668.0)	(110, 63801.0)	(115, 82044.0)	(120, 100957.0)	(125, 120389.0)	(130, 140113.0)	(135, 159313.0)	(140, 177590.0)	(145, 10921671.0)	(150, 23921649.0)
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	(35, 14069.0)	(40, 408.0)	(45, 555.0)	(50, 793.0)	(55, 1108.0)	(60, 1610.0)	(65, 2402.0)	(70, 3424.0)	(75, 5052.0)	(80, 7419.0)	(85, 10828.0)	(90, 16236.0)	(95, 23767.0)	(100, 33310.0)	(105, 46394.0)	(110, 61988.0)	(115, 79808.0)	(120, 97492.0)	(125, 116324.0)	(130, 134124.0)	(135, 154768.0)	(140, 174140.0)	(145, 12225951.0)	(150, 22657716.0)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	(35, 22817.0)	(40, 512.0)	(45, 681.0)	(50, 832.0)	(55, 1197.0)	(60, 1649.0)	(65, 2426.0)	(70, 3452.0)	(75, 5033.0)	(80, 7355.0)	(85, 10704.0)	(90, 16014.0)	(95, 23220.0)	(100, 33729.0)	(105, 46926.0)	(110, 63285.0)	(115, 82130.0)	(120, 101447.0)	(125, 122826.0)	(130, 145372.0)	(135, 167869.0)	(140, 190237.0)	(145, 12405313.0)	(150, 26879165.0)
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	(35, 11985.0)	(40, 481.0)	(45, 658.0)	(50, 820.0)	(55, 1177.0)	(60, 1630.0)	(65, 2392.0)	(70, 3402.0)	(75, 4968.0)	(80, 7249.0)	(85, 10607.0)	(90, 15830.0)	(95, 22893.0)	(100, 33049.0)	(105, 45703.0)	(110, 61283.0)	(115, 79851.0)	(120, 97603.0)	(125, 118737.0)	(130, 138768.0)	(135, 162776.0)	(140, 185114.0)	(145, 13772067.0)	(150, 25555148.0)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	(35, 18309.0)	(40, 417.0)	(45, 530.0)	(50, 716.0)	(55, 985.0)	(60, 1478.0)	(65, 2145.0)	(70, 3103.0)	(75, 4624.0)	(80, 6870.0)	(85, 10402.0)	(90, 15009.0)	(95, 22574.0)	(100, 32332.0)	(105, 45210.0)	(110, 60448.0)	(115, 78590.0)	(120, 98120.0)	(125, 118711.0)	(130, 138942.0)	(135, 161504.0)	(140, 181293.0)	(145, 10020440.0)	(150, 21399645.0)
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	(35, 11450.0)	(40, 394.0)	(45, 518.0)	(50, 696.0)	(55, 977.0)	(60, 1458.0)	(65, 2117.0)	(70, 3059.0)	(75, 4560.0)	(80, 6786.0)	(85, 10276.0)	(90, 14839.0)	(95, 22274.0)	(100, 31697.0)	(105, 44176.0)	(110, 58648.0)	(115, 76507.0)	(120, 94902.0)	(125, 115238.0)	(130, 133032.0)	(135, 156967.0)	(140, 176837.0)	(145, 11168874.0)	(150, 20286115.0)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	(35, 63043.0)	(40, 1392.0)	(45, 1853.0)	(50, 2712.0)	(55, 3584.0)	(60, 5086.0)	(65, 7346.0)	(70, 10121.0)	(75, 14381.0)	(80, 20293.0)	(85, 29067.0)	(90, 40463.0)	(95, 57364.0)	(100, 77961.0)	(105, 105249.0)	(110, 136100.0)	(115, 171652.0)	(120, 203668.0)	(125, 237295.0)	(130, 267554.0)	(135, 295793.0)	(140, 317684.0)	(145, 12701275.0)	(150, 26574065.0)
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	(35, 25259.0)	(40, 1361.0)	(45, 1795.0)	(50, 2659.0)	(55, 3580.0)	(60, 5067.0)	(65, 7262.0)	(70, 10013.0)	(75, 14254.0)	(80, 20041.0)	(85, 28751.0)	(90, 39986.0)	(95, 56609.0)	(100, 76494.0)	(105, 102745.0)	(110, 132135.0)	(115, 167235.0)	(120, 196918.0)	(125, 229864.0)	(130, 255976.0)	(135, 287514.0)	(140, 306999.0)	(145, 14110488.0)	(150, 25261996.0)
