Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38784279.0	5.7 Gbp	0.0	35-150	51.0	41.22638475759108	148.41751349818827	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38784279.0	5.7 Gbp	0.0	35-150	52.0	40.99417609553373	148.36450797499677	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35869686.0	5.3 Gbp	0.0	35-150	51.0	42.907758118407926	148.6374595947118	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35869686.0	5.3 Gbp	0.0	35-150	51.0	43.8069600276356	148.56722241728016	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40334191.0	6 Gbp	0.0	35-150	51.0	42.75142799213597	148.7175048211578	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40334191.0	6 Gbp	0.0	35-150	51.0	43.93558132815411	148.6478174311219	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32422397.0	4.8 Gbp	0.0	35-150	50.0	43.772176765511205	148.59097544515294	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32422397.0	4.8 Gbp	0.0	35-150	51.0	43.823991416929594	148.51121869552088	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41345001.0	6.1 Gbp	0.0	35-150	50.0	39.29346437453664	147.92373555632517	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41345001.0	6.1 Gbp	0.0	35-150	50.0	39.72950463034785	147.94230644715668	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
