Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	58.77361524240892	51.0	148.41751349818827	150	18.181818181818183	38.784279
Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	59.00582390446627	52.0	148.36450797499677	150	18.181818181818183	38.784279
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	57.092241881592074	51.0	148.6374595947118	150	18.181818181818183	35.869686
Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	56.1930399723644	51.0	148.56722241728016	150	18.181818181818183	35.869686
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	57.24857200786403	51.0	148.7175048211578	150	18.181818181818183	40.334191
Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	56.06441867184589	51.0	148.6478174311219	150	18.181818181818183	40.334191
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	56.227823234488795	50.0	148.59097544515294	150	18.181818181818183	32.422397
Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	56.176008583070406	51.0	148.51121869552088	150	18.181818181818183	32.422397
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	60.70653562546336	50.0	147.92373555632517	150	18.181818181818183	41.345000999999996
Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	60.27049536965215	50.0	147.94230644715668	150	18.181818181818183	41.345000999999996
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001	60.94980517711898	51.0	148.65672241732526	150	18.181818181818183	39.464048
Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001	60.28933455967033	51.0	148.59051941402464	150	18.181818181818183	39.464048
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001	58.43228207383207	50.0	148.52932300833768	150	18.181818181818183	34.498933
Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001	57.224915333375534	51.0	148.46439498578115	150	18.181818181818183	34.498933
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001	60.501273121536805	50.0	147.98099857772826	150	18.181818181818183	23.430825
Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001	60.40933659891899	50.0	147.97507471461205	150	18.181818181818183	23.430825
