Module	Section	Sample Name	Source
FastQC	all_sections	Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R1_001_fastqc.zip
FastQC	all_sections	Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R1_001_fastqc.zip
FastQC	all_sections	Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R1_001_fastqc.zip
FastQC	all_sections	Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R1_001_fastqc.zip
FastQC	all_sections	Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R1_001_fastqc.zip
FastQC	all_sections	Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_3_STXBP1_Cerebellum_RNA_454x6_Sample58_S3_R2_001_fastqc.zip
FastQC	all_sections	Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_1_STXBP1_Cortex_RNA_450x2_Sample13_S1_R2_001_fastqc.zip
FastQC	all_sections	Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_5_STXBP1_Thalamus_RNA_490x2_Sample92_S5_R2_001_fastqc.zip
FastQC	all_sections	Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R2_001_fastqc.zip
FastQC	all_sections	Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R1_001_fastqc.zip
FastQC	all_sections	Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_2_STXBP1_Midbrain_RNA_449x4_Sample28_S2_R2_001_fastqc.zip
FastQC	all_sections	Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_7_STXBP1_Striatum_RNA_490x4_Sample85_S7_R2_001_fastqc.zip
FastQC	all_sections	Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_4_STXBP1_Hippocampus_RNA_463x5_Sample113_S4_R2_001_fastqc.zip
FastQC	all_sections	Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R1_001_fastqc.zip
FastQC	all_sections	Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_8_STXBP1_Midbrain_RNA_463x5_Sample114_S8_R2_001_fastqc.zip
FastQC	all_sections	Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001	/mnt/isilon/davidson_lab/chillon/RNAseq/qc_reports/fastqc_raw/Guillem_6_STXBP1_Striatum_RNA_337x4_Sample37_S6_R1_001_fastqc.zip
