450-2_Cortex	449-4_Midbrain	454-6_Cerebellum	463-5_Hippocampus	490-2_Thalamus	337-4_Striatum	490-4_Striatum	463-5_Midbrain
ENSMUSG00000100480	3.54569199772262	8.4931076212041	8.43849512895941	9.71573669724833	8.08844258294653	6.52680390883842	6.43681071407887	7.75673520732065
ENSMUSG00000051285	1906.69587177534	1579.71801754396	2563.61482017787	2930.91390366991	2210.57135791929	2878.32052379774	3288.13747310862	2444.92293734747
ENSMUSG00000103509	24.8198439840584	15.0988579932517	43.036325157693	76.6463672782924	46.9129669810899	84.8484508148994	76.1689267832666	6.20538816585652
ENSMUSG00000026312	411.300271735824	871.959049110288	1282.65125960183	177.042313149858	478.835800910435	537.062721641561	642.608269622207	524.355300014876
ENSMUSG00000039748	57.6174949629926	64.1701464713199	10.9700436676472	10.7952629969426	18.603417940777	26.1072156353537	16.0920267851972	10.8594292902489
ENSMUSG00000103540	0	3.77471449831293	22.7839368481904	0	2.42653277488396	2.79720167521646	1.07280178567981	3.10269408292826
ENSMUSG00000057363	788.030046493853	625.658928095369	865.789600231235	1319.18113822638	811.270791069537	1038.69422206371	1300.23576424393	905.986672215052
ENSMUSG00000047216	6.20496099601459	7.54942899662587	124.889727908599	236.416259633043	328.390768867629	223.776134017317	403.373471415609	383.18271924164
ENSMUSG00000100555	1.77284599886131	6.60575037204763	0.843849512895941	6.47715779816555	6.47075406635722	31.7016189857866	12.8736214281577	7.75673520732065
ENSMUSG00000038702	486.64622668743	363.31627046262	172.145300630772	536.524570948047	415.745948763452	397.202637880738	458.08636248528	349.053084329429
ENSMUSG00000055214	98.3929529368028	215.158726403837	1084.34662407128	61.5329990825728	410.892883213684	602.330760729945	470.959983913437	539.868770429517
ENSMUSG00000078184	1.77284599886131	0.943678624578233	17.7208397708148	0	2.42653277488396	8.39160502564939	1.07280178567981	4.65404112439239
ENSMUSG00000104157	24.8198439840584	54.7333602255375	32.9101310029417	5.39763149847129	38.8245243981433	156.643293812122	92.2609535684638	68.2592698244217
ENSMUSG00000033007	648.86163558324	4693.85747865213	37.9732280803173	382.152310091768	423.025547088104	7582.28134095343	4168.90773915175	1700.27635744469
ENSMUSG00000070695	939.608379396495	1182.42931659653	175.520698682356	751.350304587204	688.32646380875	678.787606519195	860.387032115209	921.500142629693
ENSMUSG00000025909	324.43081779162	378.415128455872	128.265125960183	663.908674311969	456.188161678184	438.228262450579	452.72235355688	510.393176641699
ENSMUSG00000061024	950.245455389663	767.210721782104	758.620712093451	885.211565749292	829.065364752019	836.363300889723	775.635691046504	1093.69966423221
ENSMUSG00000025911	417.505232731839	586.968104487661	153.580611347061	639.079569419001	568.617513581141	734.731640023525	686.593142835079	615.884775461259
ENSMUSG00000067879	2238.21807356241	2123.27690530103	616.010144414037	8525.01918868556	655.163849218669	2113.75206590524	980.540832111348	1078.18619381757
ENSMUSG00000057335	6551.55238879198	4692.91380002755	3249.66447416227	1939.90876055058	1765.70701585723	1499.30009791603	1454.71922138182	1275.20726808351
ENSMUSG00000104154	20.3877289869051	55.6770388501158	88.6041988540738	22.6700522935794	28.3095490403129	15.8508094928933	15.0192249995174	10.8594292902489
